day,month,year,reef,sst,bst,current_dir_to,current_dir_from,current_deg,current_speed,swell,vis,divers,shark_id,rest_frames,rest_seconds,tot_sharks,sharks_in_uvc,maxn,frames,camera_time,maxn_divers
13,1,2021,QM,27.9,27,TILT,TILT,NA,0.2,1.5,8,N,QM.13.01.2021.07,1,30,1,14,6,1723,861.5,0
13,1,2021,QM,27.9,27,TILT,TILT,NA,0.2,1.5,8,N,QM.13.01.2021.08,7,210,6,14,6,1723,861.5,0
13,1,2021,QM,27.9,27,TILT,TILT,NA,0.2,1.5,8,N,QM.13.01.2021.09,16,480,8,14,6,1723,861.5,0
13,1,2021,QM,27.9,27,TILT,TILT,NA,0.2,1.5,8,N,QM.13.01.2021.10,5,150,3,14,6,1723,861.5,0
13,1,2021,QM,27.9,27,TILT,TILT,NA,0.2,1.5,8,N,QM.13.01.2021.11,8,240,3,14,6,1723,861.5,0
13,1,2021,QM,27.9,27,TILT,TILT,NA,0.2,1.5,8,N,QM.13.01.2021.12,6,180,4,14,6,1723,861.5,0
13,1,2021,QM,27.9,27,TILT,TILT,NA,0.2,1.5,8,N,QM.13.01.2021.13,3,90,4,14,6,1723,861.5,0
13,1,2021,QM,27.9,27,TILT,TILT,NA,0.2,1.5,8,N,QM.13.01.2021.14,4,120,3,14,6,1723,861.5,0
13,1,2021,QM,27.9,27,TILT,TILT,NA,0.2,1.5,8,N,QM.13.01.2021.15,9,270,2,14,6,1723,861.5,0
13,1,2021,QM,27.9,27,TILT,TILT,NA,0.2,1.5,8,N,QM.13.01.2021.16,2,60,2,14,6,1723,861.5,0
13,1,2021,QM,27.9,27,TILT,TILT,NA,0.2,1.5,8,N,QM.13.01.2021.17,6,180,2,14,6,1723,861.5,0
13,1,2021,QM,27.9,27,TILT,TILT,NA,0.2,1.5,8,N,QM.13.01.2021.18,2,60,4,14,6,1723,861.5,0
13,1,2021,QM,27.9,27,TILT,TILT,NA,0.2,1.5,8,N,QM.13.01.2021.19,2,60,2,14,6,1723,861.5,0
13,1,2021,QM,27.9,27,TILT,TILT,NA,0.2,1.5,8,N,QM.13.01.2021.20,5,150,3,14,6,1723,861.5,0
22,1,2021,QM,26.1,26,TILT,TILT,NA,0.74,1.4,15,Y,QM.22.01.2021.01,1,30,1,9,5,1367,683.5,7
22,1,2021,QM,26.1,26,TILT,TILT,NA,0.74,1.4,15,Y,QM.22.01.2021.02,2,60,2,9,5,1367,683.5,7
22,1,2021,QM,26.1,26,TILT,TILT,NA,0.74,1.4,15,Y,QM.22.01.2021.03,9,270,3,9,5,1367,683.5,7
22,1,2021,QM,26.1,26,TILT,TILT,NA,0.74,1.4,15,Y,QM.22.01.2021.04,1,30,1,9,5,1367,683.5,7
22,1,2021,QM,26.1,26,TILT,TILT,NA,0.74,1.4,15,Y,QM.22.01.2021.05,7,210,1,9,5,1367,683.5,7
22,1,2021,QM,26.1,26,TILT,TILT,NA,0.74,1.4,15,Y,QM.22.01.2021.06,8,240,2,9,5,1367,683.5,7
22,1,2021,QM,26.1,26,TILT,TILT,NA,0.74,1.4,15,Y,QM.22.01.2021.07,6,180,4,9,5,1367,683.5,7
22,1,2021,QM,26.1,26,TILT,TILT,NA,0.74,1.4,15,Y,QM.22.01.2021.08,3,90,4,9,5,1367,683.5,7
22,1,2021,QM,26.1,26,TILT,TILT,NA,0.74,1.4,15,Y,QM.22.01.2021.09,4,120,1,9,5,1367,683.5,7
22,1,2021,QM,26.1,26,TILT,TILT,NA,0.74,1.4,15,Y,QM.22.01.2021.10,2,60,3,9,5,1367,683.5,7
22,1,2021,QM,26.1,26,TILT,TILT,NA,0.74,1.4,15,Y,QM.22.01.2021.11,6,180,3,9,5,1367,683.5,7
22,1,2021,QM,26.1,26,TILT,TILT,NA,0.74,1.4,15,Y,QM.22.01.2021.12,2,60,3,9,5,1367,683.5,7
22,1,2021,QM,26.1,26,TILT,TILT,NA,0.74,1.4,15,Y,QM.22.01.2021.13,9,270,2,9,5,1367,683.5,7
22,1,2021,QM,26.1,26,TILT,TILT,NA,0.74,1.4,15,Y,QM.22.01.2021.14,5,150,1,9,5,1367,683.5,7
22,1,2021,QM,26.1,26,TILT,TILT,NA,0.74,1.4,15,Y,QM.22.01.2021.15,5,150,2,9,5,1367,683.5,7
22,1,2021,QM,26.1,26,TILT,TILT,NA,0.74,1.4,15,Y,QM.22.01.2021.16,2,60,2,9,5,1367,683.5,7
22,1,2021,QM,26.1,26,TILT,TILT,NA,0.74,1.4,15,Y,QM.22.01.2021.17,3,90,1,9,5,1367,683.5,7
22,1,2021,QM,26.1,26,TILT,TILT,NA,0.74,1.4,15,Y,QM.22.01.2021.18,1,30,2,9,5,1367,683.5,7
22,1,2021,QM,26.1,26,TILT,TILT,NA,0.74,1.4,15,Y,QM.22.01.2021.19,10,300,1,9,5,1367,683.5,7
22,1,2021,QM,26.1,26,TILT,TILT,NA,0.74,1.4,15,Y,QM.22.01.2021.20,2,60,1,9,5,1367,683.5,7
23,1,2021,QM,26.6,26,TILT,TILT,NA,0.555,1.8,6,Y,QM.23.01.2021.01,9,270,4,8,6,1703,851.5,15
23,1,2021,QM,26.6,26,TILT,TILT,NA,0.555,1.8,6,Y,QM.23.01.2021.02,1,30,1,8,6,1703,851.5,15
23,1,2021,QM,26.6,26,TILT,TILT,NA,0.555,1.8,6,Y,QM.23.01.2021.03,1,30,3,8,6,1703,851.5,15
23,1,2021,QM,26.6,26,TILT,TILT,NA,0.555,1.8,6,Y,QM.23.01.2021.04,1,30,1,8,6,1703,851.5,15
23,1,2021,QM,26.6,26,TILT,TILT,NA,0.555,1.8,6,Y,QM.23.01.2021.05,2,60,3,8,6,1703,851.5,15
23,1,2021,QM,26.6,26,TILT,TILT,NA,0.555,1.8,6,Y,QM.23.01.2021.06,4,120,3,8,6,1703,851.5,15
23,1,2021,QM,26.6,26,TILT,TILT,NA,0.555,1.8,6,Y,QM.23.01.2021.07,2,60,2,8,6,1703,851.5,15
23,1,2021,QM,26.6,26,TILT,TILT,NA,0.555,1.8,6,Y,QM.23.01.2021.08,2,60,2,8,6,1703,851.5,15
23,1,2021,QM,26.6,26,TILT,TILT,NA,0.555,1.8,6,Y,QM.23.01.2021.09,1,30,2,8,6,1703,851.5,15
23,1,2021,QM,26.6,26,TILT,TILT,NA,0.555,1.8,6,Y,QM.23.01.2021.10,5,150,1,8,6,1703,851.5,15
